"","X.3","X.2","X.1","X","PM2.5","PM10","SO2","CO","NO2","O3","HUM","PRES","WSPD","TEMP","ACTV","MORB.","Case","log.Case.1.","log.MORB..1.","City","days"
"342",342,342,342,"2020-02-20",61.6666666666667,99,40,1.33333333333333,43.6666666666667,83.3333333333333,42.3333333333333,972.333333333333,0.633333333333334,5,2.8474,0,0,0,0,"Linfen",29
"343",343,343,343,"2020-02-21",59.6666666666667,118.666666666667,35.3333333333333,1.3,39,83.3333333333333,51.6666666666667,972.666666666667,1.13333333333333,5.16666666666667,2.9437,0,0,0,0,"Linfen",30
"344",344,344,344,"2020-02-22",45,111,29.3333333333333,1,33,78.3333333333333,47,975.333333333333,1.13333333333333,5.83333333333333,3.04926666666667,0,0,0,0,"Linfen",31
"345",345,345,345,"2020-02-23",36.3333333333333,97.6666666666667,17.6666666666667,0.966666666666666,31.6666666666667,89.3333333333333,45.6666666666667,976.333333333333,1.4,5.66666666666667,3.2241,0,0,0,0,"Linfen",32
"346",346,346,346,"2020-02-24",49.3333333333333,102.666666666667,37,1.13333333333333,46,67.6666666666667,40.3333333333333,971,0.633333333333334,7.83333333333333,3.39856666666667,0,0,0,0,"Linfen",33
"347",347,347,347,"2020-02-25",77.6666666666667,133.333333333333,54.6666666666667,1.46666666666667,57.3333333333333,68.6666666666667,49,966.333333333333,1.13333333333333,8.5,3.58606666666667,0,0,0,0,"Linfen",34
"348",348,348,348,"2020-02-26",84.3333333333333,132.333333333333,50,1.46666666666667,52,64.3333333333333,54,964.333333333333,1.13333333333333,10.1666666666667,3.69543333333333,0,0,0,0,"Linfen",35
"349",349,349,349,"2020-02-27",64,94.3333333333333,26.6666666666667,1.2,36.3333333333333,76.3333333333333,59.3333333333333,968,1.4,9.33333333333333,3.56713333333333,0,0,0,0,"Linfen",36
"350",350,350,350,"2020-02-28",54,71.3333333333333,6,1.23333333333333,28.6666666666667,55,70,970,0.9,8.33333333333333,3.50263333333333,0,0,0,0,"Linfen",37
"351",351,351,351,"2020-02-29",65,82.6666666666667,5.66666666666667,1.53333333333333,30,42.3333333333333,77,969,0.9,5.66666666666667,3.51806666666666,0,0,0,0,"Linfen",38
"352",352,352,352,"2020-03-01",77,105.666666666667,8,1.63333333333333,32.6666666666667,52.3333333333333,80,967,0.9,4.5,3.7995,0,0,0,0,"Linfen",39
"353",353,353,353,"2020-03-02",62.3333333333333,90,10,1.43333333333333,31,63.3333333333333,61,967.333333333333,0.9,5.5,3.921,0,0,0,0,"Linfen",40
"354",354,354,354,"2020-03-03",37.6666666666667,61.3333333333333,11.3333333333333,1,31,75,60.6666666666667,969.333333333333,0.9,5.83333333333333,4.0634,0,0,0,0,"Linfen",41
