"","City","POP","GDP","PRIM","SEC","TERT","X.60yr.","BED","DOC","NRS","Area","POPDENS","GDPpc","Prim.","Sec.","Tert.","ACTV","TVLR","TVLR."
"129","Leshan",3271,26.9654124457308,3.51201157742402,11.6046309696093,11.8487698986975,24.6790767,7.743503516,2.503210028,3.11861816,12723,257.093452802012,56.9645368388872,13.024134470378,43.0352437329269,43.9406217966951,5.1784,0,0
"130","Meishan",2995,19.9739507959479,2.8821997105644,7.62850940665702,9.46324167872648,27.4265109,6.658764608,1.615692821,2.259432387,7140,419.467787114846,46.0834724540902,14.4297927836545,38.1922909723228,47.3779162440226,5.074328571,0,0
"131","Yibin",4573,37.653979739508,4.01794500723589,18.9424023154848,14.6936324167873,21.5872513,7.697354035,2.208615788,3.039580144,13271,344.585939266069,56.8967854799913,10.6707047569267,50.3065079615203,39.022787281553,5.7645,0,0
"132","Yaan",1541,10.4745296671491,1.85311143270622,3.28798842257598,5.33342981186686,21.0265439,8.585334199,2.99156392,3.513951979,15046,102.419247640569,46.9688513951979,17.6915956285663,31.3903203968002,50.9180839746335,5.038671429,0,0
"133","Ziyang",2503,11.2561505065123,2.05643994211288,3.43849493487699,5.76121562952243,32.1952867,7.990411506,2.224530563,2.53495805,5748,435.455810716771,31.0747103475829,18.2694780149139,30.5476986371818,51.1828233479043,5.541414286,0,0
"134","Nanchong",6435,33.6066570188133,5.85021707670043,13.5690303907381,14.1875542691751,22.5266687,6.795027195,2.186013986,2.346697747,12477,515.74897811974,36.0873348873349,17.4079113951305,40.3760194985833,42.2164997287079,6.216642857,2.48177,0.385667
"135","Guangan",3251,18.095513748191,2.95658465991317,5.9479015918958,9.19102749638206,27.4853085,6.554906183,1.851737927,2.314980006,6339,512.856917494873,38.4620116887112,16.3387715930902,32.8694817658349,50.7917466410749,5.994428571,0.283,0.0871
"136","Dazhou",5741,29.5441389290883,4.98986975397974,10.2214182344428,14.3328509406657,24.8869805,6.246646926,1.321546769,1.932938512,16588,346.093561610803,35.5600069674273,16.8895420034289,34.5971099681607,48.5133480284105,6.001,5.118295,0.891534
"137","Xianning",2548.4,23.0821997105644,2.89435600578871,10.2011577424023,9.98668596237337,18.0610727,6.176424423,2.782530215,3.134515775,9752,261.320754716981,62.5875058860462,12.5393421861089,44.1949115349409,43.2657462789502,5.933771429,250.2364,98.193533
"138","Xiaogan",4921,33.3053545586107,4.49160636758321,14.2301013024602,14.5836468885673,20.3993283,5.202194676,1.890243902,2.276422764,8904,552.672955974843,46.7669172932331,13.486138871991,42.7261666811506,43.7876944468584,5.220464286,691.868775,140.595159
"139","Huanggang",6333.3,33.6140376266281,5.83227206946454,12.6853835021708,15.0963820549928,23.583257,5.939715472,1.91,2.255766193,17457,362.794294552329,36.674877236196,17.3507036978039,37.7383509921515,44.9109453100446,5.494285714,653.522675,103.188334
"140","Huangshi",2471.7,25.5743849493488,1.50246020260492,13.0301013024602,11.0418234442836,17.5245901,7.188170085,2.602662135,3.986325201,4583,539.319223216234,71.4969454221791,5.87486348383592,50.9498129799286,43.1753235362355,5.508957143,188.138335,76.116978
